"state","DIDE_CODE","area","urban_area","population","urban_population","urban_area_prop","urban_pop_prop","pop_density","pop_density_urban","pop_density_rural"
"Abia",102097,4724.00259486642,1756.91677541183,4189697.38235474,3006390.93280029,0.371912745628268,0.717567561194745,886.895656430774,1711.17435662004,398.810995555214
"Adamawa",102098,34290.0541343245,888.566567709669,4671674.17774975,1602595.04083252,0.0259132448210459,0.343045122552715,136.239918416267,1803.57341708602,91.8845045687369
"Akwa Ibom",102099,6735.92312695177,3570.93284152743,6093331.33264923,4608833.39440918,0.530132659507265,0.756373343710061,904.602267248062,1290.65249864453,469.037123139549
"Anambra",102100,4590.22749564205,2253.87906852141,6049549.07496643,5361592.94665527,0.491016854973143,0.886279767337043,1317.91922746963,2378.82902482989,294.457847265104
"Bauchi",102101,49060.4405655576,921.153310177261,7270324.5458498,1512637.70843506,0.0187758874473693,0.208056421538779,148.191179329805,1642.11287276813,119.604737952809
"Bayelsa",102102,9764.05364556343,744.990141251133,2606069.67047596,884168.565246582,0.0762992675270317,0.339272804278138,266.904480974467,1186.81914872284,190.917948898584
"Benue",102103,31324.988065939,993.622478132421,6376133.85316277,1659969.90838623,0.0317198038843893,0.260341132512899,203.547846203198,1670.62435172185,155.488018866927
"Borno",102104,71407.4745624539,743.374412795535,6650824.40555477,1754261.44024658,0.0104103165298945,0.263766013545843,93.1390508669771,2359.86255385023,69.2935020036742
"Cross River",102105,21302.9108204656,866.221274815622,4272476.86736512,1363734.73260498,0.0406621086721842,0.319190665026587,200.558360468776,1574.34915564185,142.329418287771
"Delta",102106,16624.1031079267,2185.05236446738,6302965.02699625,3248816.40826416,0.131438812083973,0.51544255669342,379.14617023705,1486.83686537466,211.520041933198
"Ebonyi",102107,6188.83135133968,1393.5060712882,3191931.5615654,1620065.09521484,0.225164654226125,0.507550072414562,515.756752827729,1162.58201424067,327.791416546758
"Edo",102108,19589.3005220339,1189.46864436222,4705173.8111248,2226679.96893311,0.0607203224548173,0.473240746955701,240.191006607534,1871.99551622231,134.701983076235
"Ekiti",102109,5236.61527920968,1358.33187780018,3592973.12679291,2297624.48718262,0.259391191709845,0.639477225712924,686.125089436619,1691.50450249583,334.000511447801
"Enugu",102110,7702.54606132316,2103.47583601179,4801167.31095886,3075954.25860596,0.273088381330685,0.640667999964293,623.322116185322,1462.31974998011,308.124917696842
"Federal Capital Territory",102111,7351.38279617415,1509.31942452777,4864553.51122093,3613642.26324463,0.205310955282216,0.742851785864651,661.719522176504,2394.21967578219,214.121478730857
"Gombe",102112,18190.428571402,496.802753055087,3691875.26651019,1175899.9710083,0.0273112176057321,0.318510211240111,202.957025010084,2366.93529530001,142.196705261678
